run,ceiling,attempts,schema_failures,schema_valid,turns_used,latency_ms,outcome,tags,schema_error
1,10,1,0,True,3,25360,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
2,10,1,0,True,3,21465,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
3,10,1,0,True,3,24103,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
4,10,1,0,True,3,23796,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
5,10,1,0,True,3,21817,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
6,10,1,0,True,3,21705,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
7,10,1,0,True,3,22261,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
8,10,1,0,True,3,23854,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
9,10,1,0,True,3,22078,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
10,10,1,0,True,3,21134,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
11,10,1,0,True,3,24521,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
12,10,1,0,True,3,21516,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
13,10,1,0,True,3,20415,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
14,10,1,0,True,3,24052,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
15,10,1,0,True,3,19969,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
16,10,1,0,True,3,20005,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
17,10,1,0,True,3,19820,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
18,10,1,0,True,3,19912,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
19,10,1,0,True,3,19918,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
20,10,1,0,True,3,20029,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
21,10,1,0,True,3,25140,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
22,10,1,0,True,3,20331,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
23,10,1,0,True,3,19879,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
24,10,1,0,True,3,19933,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
25,10,1,0,True,3,20083,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
26,10,1,0,True,3,20145,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
27,10,1,0,True,3,19954,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
28,10,1,0,True,3,19931,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
29,10,1,0,True,3,19930,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
30,10,1,0,True,3,20146,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
