run,ceiling,attempts,schema_failures,schema_valid,turns_used,latency_ms,outcome,tags,schema_error
1,10,1,0,True,3,21860,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
2,10,1,0,True,3,21994,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
3,10,1,0,True,3,20820,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
4,10,1,0,True,3,22247,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
5,10,1,0,True,3,23211,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
6,10,1,0,True,3,22401,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
7,10,1,0,True,3,23310,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
8,10,1,0,True,3,27952,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
9,10,1,0,True,3,24236,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
10,10,1,0,True,3,22793,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
11,10,1,0,True,3,23273,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
12,10,1,0,True,3,23584,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
13,10,1,0,True,3,22472,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
14,10,1,0,True,3,23314,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
15,10,1,0,True,3,21582,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
16,10,1,0,True,3,20477,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
17,10,1,0,True,3,20910,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
18,10,1,0,True,3,20590,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
19,10,1,0,True,3,20645,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
20,10,1,0,True,3,20834,valid first attempt,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
