run,ceiling,attempts,schema_failures,schema_valid,turns_used,latency_ms,outcome,tags,schema_error
1,2,1,0,True,2,11054,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
2,2,1,0,True,2,11063,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
3,2,1,0,True,2,10999,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
4,2,1,0,True,2,10931,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
5,2,1,0,True,2,10996,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
6,2,1,0,True,2,13223,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
7,2,1,0,True,2,15149,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
8,2,1,0,True,2,13026,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
9,2,1,0,True,2,12096,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
10,2,1,0,True,2,16076,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
11,2,1,0,True,2,12036,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
12,2,1,0,True,2,11851,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
13,2,1,0,True,2,12201,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
14,2,1,0,True,2,13510,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
15,2,1,0,True,2,12515,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
16,2,1,0,True,2,11913,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
17,2,1,0,True,2,11374,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
18,2,1,0,True,2,11430,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
19,2,1,0,True,2,11001,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
20,2,1,0,True,2,11818,hit turn ceiling,Frozen Food Quality | Product Packaging Defect | Grocery Store Recall,
